Lamda,Number of cashiers,Net profit,
0.2,1,89.6,
,2,-219.6,
,3,-534.4,
,4,-814,
,5,-1123.2,
,6,-1417.2,
,7,-1729.2,
,8,-1990.4,
,9,-2328.4,
,10,-2629.2,
0.3,1,232,
,2,-21.2,
,3,-294,
,4,-626,
,5,-930.4,
,6,-1193.2,
,7,-1513.2,
,8,-1833.2,
,9,-2122.4,
,10,-2417.2,
0.5,1,287.6,
,2,345.6,
,3,61.6,
,4,-248,
,5,-561.2,
,6,-798.8,
,7,-1154.8,
,8,-1448.4,
,9,-1729.2,
,10,-2035.2,
1,1,275.2,
,2,552.4,
,3,845.2,
,4,747.6,
,5,431.6,
,6,106.4,
,7,-98.4,
,8,-514,
,9,-702,
,10,-1053.6,
1.5,1,302,
,2,548,
,3,846,
,4,1196.8,
,5,1323.6,
,6,1122.8,
,7,770,
,8,418.4,
,9,104,
,10,-100,
2,1,281.6,
,2,620.4,
,3,897.2,
,4,1200,
,5,1436.4,
,6,1782.4,
,7,1718.4,
,8,1445.6,
,9,1152.4,
,10,772,
